"","(Intercept)","agegrp4","agegrp5","agegrp6","agegrp7","agegrp8","agegrp9","agegrp10","Hispanic1","Hispanic9","race2","race3","race4","race5","race9","bmi2","bmi3","bmi4","bmi9","agefirst1","agefirst2","agefirst9","brstproc1","brstproc9","nrelbc1","nrelbc2","nrelbc9","hrt1","hrt9","surgemeno1","surgemeno9","lastmamm1","lastmamm9","density2","density3","density4","density9",
"race2",-0.000192202783429798,-1.95812628903827e-05,-1.94288255691155e-05,-3.42151609924774e-05,-3.38589898586274e-05,-2.12343482369201e-05,1.52094334422885e-05,5.24502985510521e-05,3.7658011292595e-05,-0.00011160789435917,0.00352720455967088,0.000166686335069953,0.00015112933989357,0.000210097508248229,0.000271452943708691,5.58539917700904e-05,9.71701438561627e-05,0.000119646855542117,-0.000171236064615993,-0.000148228311438325,-1.95954488109971e-05,0.000210679421774331,6.7379326576475e-05,-3.7418416237377e-05,6.03820535982054e-05,7.40215111826148e-05,1.81763578111988e-05,6.30058267609865e-05,-5.31034005564884e-06,1.92547892926392e-05,-4.42790757237174e-06,-1.51148893464739e-05,-5.85834144465217e-06,1.95846262980201e-05,3.44127995531222e-06,-4.62040147999087e-05,-0.00010392629196936,
"race3",-0.000174853503400505,3.32277782329371e-05,4.37270823067147e-05,4.83904877994837e-05,5.95518662872038e-05,7.64597296626808e-05,9.49113269182145e-05,0.0001038706007732,5.79633589531643e-05,1.21401479712948e-05,0.000166686335069953,0.00246868729179179,0.000111198150288003,0.000147090360764383,0.000171466994354966,-1.24805577978767e-05,-2.36963621400697e-05,-4.03246983384634e-05,-0.000157890477438868,1.89319982105709e-05,8.41264589879067e-06,-2.74619687439757e-05,3.5230870544017e-05,5.20577429271717e-05,2.37486806282601e-05,5.80612750939577e-05,-2.83000845532764e-05,0.000121721901520514,8.41215690751723e-05,-0.000104456802858919,1.2778732445304e-05,-2.87287530748758e-05,-1.53267702043656e-05,7.51743462522033e-06,2.77612046864336e-06,1.7809947355378e-05,9.61786046471206e-06,
"race4",5.632443172841e-06,-1.0463341940288e-06,-2.37506270020066e-05,-2.03347954167207e-05,2.98302666612884e-06,2.32205348536302e-05,2.20596564299431e-05,1.7715556158748e-05,0.000152679285763806,-0.000376025087375535,0.00015112933989357,0.000111198150288003,0.016954379182459,7.69509114472047e-05,0.000442120748119889,-9.92142793181714e-05,-0.000174239895936471,-0.000165110845486883,6.76340042453647e-05,-6.24533641290688e-06,-5.14429269289869e-06,-0.000164291942744286,5.55103501351418e-05,-5.26823678685245e-05,5.53184221761262e-05,2.86377548695672e-05,6.79108934195134e-05,8.63484305680044e-05,0.00010735559925269,-2.84491836280358e-05,-0.000170076708315872,-0.000120219827952178,-5.95681545800986e-06,-7.91048460939777e-06,-1.64723642031724e-05,-3.69040535954341e-05,-0.000177477748473018,
"race5",-0.000194240581004632,1.81690527720292e-05,3.11930286982985e-05,5.07632346415946e-05,6.38712322213664e-05,7.20544527926598e-05,8.62014385454547e-05,9.31243360449051e-05,-0.00064523551187743,-9.81688204020843e-05,0.000210097508248229,0.000147090360764383,7.69509114472047e-05,0.0147303646689081,0.000234479974001133,1.25693554015899e-05,-8.63010892572782e-06,-6.51094889754215e-05,-0.000143529496073696,-8.86082193636466e-06,9.20414152281501e-06,0.0001453895551673,1.13865728257709e-05,3.1806634646326e-05,9.93407653341985e-06,-1.27674660183849e-05,2.95012713318808e-05,2.52733506751001e-05,-8.65090749168465e-05,-1.69786796818902e-06,6.29764254926288e-05,-2.32479031171517e-05,-1.58768110127282e-05,8.81044679954508e-06,1.07660559641563e-05,2.49216203393828e-05,2.25926810055838e-06,
"race9",6.04322027637321e-05,-7.36612266701323e-06,-1.0774382090516e-05,-1.05527885941421e-05,-5.37119763353651e-06,-6.96721591409184e-06,-8.38136736986849e-06,-6.83034797260755e-06,-0.000250155097346524,-0.00103383131440566,0.000271452943708691,0.000171466994354966,0.000442120748119889,0.000234479974001133,0.00177317740019295,8.9231732917383e-06,1.34779780858662e-05,5.09579800026005e-06,-0.000217027688113003,-1.89087453311343e-05,-3.14539141899296e-05,-1.96624618126228e-05,2.28869637594362e-05,9.85068880894979e-05,1.47872101739536e-05,-3.54101775291888e-05,1.95267147574359e-05,1.03326455954652e-05,-3.01901318152814e-05,2.16855424952952e-05,-0.000121276744713844,-2.54210700516835e-05,-8.2734981861162e-05,3.70500594962547e-05,3.1003928536016e-05,1.68412799566268e-05,5.27809193445925e-05,
"bmi2",-0.000622291980942857,-5.70168389995915e-06,-1.44382405745435e-05,-1.81890363576192e-05,-1.81643338827292e-05,-7.51620437353014e-06,5.724602972545e-06,2.33757737753239e-05,-7.47041964974126e-05,-1.73744882849959e-05,5.58539917700904e-05,-1.24805577978767e-05,-9.92142793181714e-05,1.25693554015899e-05,8.9231732917383e-06,0.00127436653996513,0.000570450430751404,0.000578865165098714,0.000537050831327922,4.20392552457784e-05,3.84027970190696e-05,3.76403997978062e-05,5.35833640891481e-07,-7.72618426473246e-06,-6.12493959692405e-07,-2.66728440550549e-05,-1.21964336954069e-05,1.50255731091347e-05,3.07195105533148e-06,-1.66355071145977e-05,3.09702817677928e-05,-1.13860402327162e-05,3.5506363298479e-07,2.69608438779506e-05,7.6522824561828e-05,0.000150844017325485,5.69029649674653e-05,
"bmi3",-0.000750271101608657,-3.3930070967152e-06,-5.85264073619389e-06,-4.08975826967909e-06,1.98792227935473e-06,2.00534201651192e-05,4.69483474009616e-05,7.74975539232192e-05,-7.93169153599418e-05,-2.98168625570096e-05,9.71701438561627e-05,-2.36963621400697e-05,-0.000174239895936471,-8.63010892572782e-06,1.34779780858662e-05,0.000570450430751404,0.00215940149001677,0.000612714795879033,0.000536179990188469,6.14812494221403e-05,4.96274877224789e-05,6.48697724356109e-05,-7.07712223596007e-07,-9.98410869011235e-06,-3.97184868278233e-06,-3.19761753785009e-05,-1.96902822591749e-05,3.32657844265982e-05,4.21397158580308e-06,-2.79883529159101e-05,5.76554299295514e-05,-9.06592791860309e-06,3.22201004250727e-06,8.58093847716578e-05,0.00017326292355944,0.00025916776247639,0.000138687465555333,
"bmi4",-0.000954145622773785,1.20473142355554e-06,1.83089331359936e-05,3.38087939870679e-05,6.22809336465863e-05,0.000100091607436446,0.000133012689034932,0.000169232351352034,-1.54940876020955e-05,-2.63023609930764e-05,0.000119646855542117,-4.03246983384634e-05,-0.000165110845486883,-6.51094889754215e-05,5.09579800026005e-06,0.000578865165098714,0.000612714795879033,0.00367038855503882,0.000540464542524531,7.12205406885254e-05,3.90254307518604e-05,8.91325526422431e-05,4.40026094586549e-06,-1.19718392772383e-05,-2.95460898255354e-06,-6.04302626328976e-05,-3.15812948970136e-05,5.46873008976261e-05,5.41443748342945e-06,-3.82662110874794e-05,8.50969865214709e-05,-1.86716085994467e-05,6.51386775191014e-06,0.000190823935925568,0.000308858601502338,0.000407769564126654,0.000263992124320037,
"bmi9",-0.000521023411484192,5.59532687863705e-07,-3.8351268865273e-06,-4.68308589947412e-06,-4.15826677205069e-06,-1.18902565653962e-06,5.39885009165727e-07,6.79036779874357e-06,0.000128593134070503,3.82984420904935e-05,-0.000171236064615993,-0.000157890477438868,6.76340042453647e-05,-0.000143529496073696,-0.000217027688113003,0.000537050831327922,0.000536179990188469,0.000540464542524531,0.00101505755260579,-2.40720808366236e-05,-9.75953295699323e-05,-0.000377980930413518,-1.08697334544964e-05,7.98048059250304e-05,3.2904066515658e-07,1.91951030308557e-05,-7.35937122171281e-05,3.76150588896981e-06,-0.000148180054420781,-1.37010865878537e-05,0.000219959437489599,-9.01565826114302e-06,-3.8932770551041e-05,4.05279925312238e-05,7.68579682339617e-05,0.000137387383386957,1.1850835592741e-05,
"agefirst1",-0.000407723895924889,2.02376467992604e-05,7.23630303001564e-05,9.57554568392926e-05,9.21598596232641e-05,8.02181207786096e-05,4.82696445163094e-05,-5.53750315796281e-06,7.57981151528335e-06,3.07721223632483e-05,-0.000148228311438325,1.89319982105709e-05,-6.24533641290688e-06,-8.86082193636466e-06,-1.89087453311343e-05,4.20392552457784e-05,6.14812494221403e-05,7.12205406885254e-05,-2.40720808366236e-05,0.00244335427461832,0.000361144807903885,0.000346623792916446,2.42728724687639e-06,8.50427470647004e-06,5.21331057795445e-06,2.63932660612081e-05,1.00663614154924e-05,1.05510459113908e-05,-8.54089677694759e-06,6.00323500786393e-05,3.22065635467289e-05,3.17754647363449e-06,1.38456413496138e-05,-8.95609972002751e-06,-3.25166057086042e-05,-4.93894184777733e-05,-5.83275464367802e-05,
"agefirst2",-0.000373605139877505,2.6703949909926e-05,7.36593602137932e-05,0.000100322377612837,0.000105187260772749,9.87871035178316e-05,8.59234287979913e-05,6.08680734799077e-05,8.229524104938e-06,5.63946439675924e-05,-1.95954488109971e-05,8.41264589879067e-06,-5.14429269289869e-06,9.20414152281501e-06,-3.14539141899296e-05,3.84027970190696e-05,4.96274877224789e-05,3.90254307518604e-05,-9.75953295699323e-05,0.000361144807903885,0.0016485403061437,0.000407285065257713,-7.2235550771128e-06,5.39260679536429e-05,3.81344211004833e-06,6.41866289260054e-05,2.97137511476737e-05,6.34290933475803e-06,-3.50367035656661e-05,1.52741833521604e-05,-4.82962730549991e-05,4.378124815405e-06,3.40205788243858e-05,-6.77333006396551e-06,-4.56522585597319e-05,-9.70524937953992e-05,-9.80396030276684e-05,
"agefirst9",-0.000257461904361157,1.83999880531341e-05,1.56939048347504e-05,1.95917128610785e-05,1.63631163240298e-05,1.67560217995223e-05,1.89884534277692e-05,1.78103467131962e-05,-4.34563304137208e-05,8.37586188791563e-05,0.000210679421774331,-2.74619687439757e-05,-0.000164291942744286,0.0001453895551673,-1.96624618126228e-05,3.76403997978062e-05,6.48697724356109e-05,8.91325526422431e-05,-0.000377980930413518,0.000346623792916446,0.000407285065257713,0.000856297782459954,5.79868349682559e-06,-6.8870611835412e-05,1.86673715338674e-05,9.91352057001498e-05,-0.000121611696566997,1.0201264012948e-05,9.60325424623343e-05,-8.99428315284571e-05,-0.000257046016421816,5.44022447455159e-06,7.3567005075474e-05,-1.43939129830537e-05,-3.75603407898836e-05,-6.32538199289843e-05,3.01705877644929e-05,
"brstproc1",-7.31346680280513e-05,-1.97203967259987e-05,-3.5733109616166e-05,-4.2668948801078e-05,-4.53050057129524e-05,-4.25856495638017e-05,-3.92137925351383e-05,-2.98227000376834e-05,3.72393994472933e-05,-1.21264169323167e-05,6.7379326576475e-05,3.5230870544017e-05,5.55103501351418e-05,1.13865728257709e-05,2.28869637594362e-05,5.35833640891481e-07,-7.07712223596007e-07,4.40026094586549e-06,-1.08697334544964e-05,2.42728724687639e-06,-7.2235550771128e-06,5.79868349682559e-06,0.000614703514179548,0.000139845799197786,-3.54232105568018e-05,-6.17311232545771e-05,-1.37260663384148e-05,-1.11179632958588e-05,2.96860084317323e-05,-3.10702022348604e-05,6.94440031064667e-06,-0.00013355861673514,5.3475229070923e-06,-3.05529157804395e-05,-7.06999520450297e-05,-9.83357367204438e-05,-3.95522805066214e-05,
