"","(Intercept)","agegrp4","agegrp5","agegrp6","agegrp7","agegrp8","agegrp9","agegrp10","Hispanic1","Hispanic9","race2","race3","race4","race5","race9","bmi2","bmi3","bmi4","bmi9","agefirst1","agefirst2","agefirst9","brstproc1","brstproc9","nrelbc1","nrelbc2","nrelbc9","hrt1","hrt9","surgemeno1","surgemeno9","lastmamm1","lastmamm9","density2","density3","density4","density9",
"brstproc9",-4.42054786687469e-07,-2.47060383611568e-06,-7.42312050078535e-06,-9.23845355486706e-06,-2.29962013228466e-05,-2.95601857966491e-05,-3.0445406507779e-05,-2.77453337703546e-05,-3.43415234588134e-05,-0.00017318135020146,-3.7418416237377e-05,5.20577429271717e-05,-5.26823678685245e-05,3.1806634646326e-05,9.85068880894979e-05,-7.72618426473246e-06,-9.98410869011235e-06,-1.19718392772383e-05,7.98048059250304e-05,8.50427470647004e-06,5.39260679536429e-05,-6.8870611835412e-05,0.000139845799197786,0.00168868824068957,-1.14319829153002e-05,-4.81334518311563e-07,-0.000134101052074474,-1.16708767414178e-05,-0.000426445775038219,5.15887947777517e-06,-0.000195474084572736,-2.84106899918672e-05,-1.02504042018331e-07,1.9984637250388e-06,-5.06259636716751e-06,-2.02119928559245e-05,-0.000103011175955592,
"nrelbc1",-0.000146574205609978,3.93766457270531e-07,-3.78365047758603e-06,-5.41131555899534e-06,-1.25730857261725e-05,-1.81290518593133e-05,-2.50098152968583e-05,-2.76900737321805e-05,3.05963631152007e-05,-4.65412045856161e-06,6.03820535982054e-05,2.37486806282601e-05,5.53184221761262e-05,9.93407653341985e-06,1.47872101739536e-05,-6.12493959692405e-07,-3.97184868278233e-06,-2.95460898255354e-06,3.2904066515658e-07,5.21331057795445e-06,3.81344211004833e-06,1.86673715338674e-05,-3.54232105568018e-05,-1.14319829153002e-05,0.000835771772607248,0.000171832777337697,0.000163644877679078,2.25475474653242e-05,-7.27163085121071e-06,-1.59835382076425e-05,-1.58769215811609e-05,4.40045311931007e-06,7.60299262618983e-06,-5.7649471507421e-06,-9.82153029611117e-06,-1.00999813705065e-05,-1.54156089132249e-05,
"nrelbc2",-0.000176742485199175,8.88997122283e-06,-7.00682388944091e-06,-2.22956301831609e-05,-4.08935427284137e-05,-6.06430795253484e-05,-7.87921259205328e-05,-0.000106496450045038,6.74158212245955e-05,2.12482399518702e-05,7.40215111826148e-05,5.80612750939577e-05,2.86377548695672e-05,-1.27674660183849e-05,-3.54101775291888e-05,-2.66728440550549e-05,-3.19761753785009e-05,-6.04302626328976e-05,1.91951030308557e-05,2.63932660612081e-05,6.41866289260054e-05,9.91352057001498e-05,-6.17311232545771e-05,-4.81334518311563e-07,0.000171832777337697,0.00858453589248555,0.000117267558372549,4.68999070070204e-05,1.73186476990052e-06,-4.48920222878468e-05,-1.58304916009073e-05,2.82140135567337e-06,9.89186409480816e-06,-1.34327696636874e-05,-2.80784819204191e-05,-4.64177609212843e-05,4.15766113124927e-05,
"nrelbc9",4.79819534107332e-05,-6.12328948884981e-06,-3.6187497476672e-05,-3.79489597054257e-05,-3.66603666368107e-05,-3.34872805306908e-05,-2.94088355861386e-05,-2.69495366262978e-05,5.78325917090485e-05,4.48759857366871e-05,1.81763578111988e-05,-2.83000845532764e-05,6.79108934195134e-05,2.95012713318808e-05,1.95267147574359e-05,-1.21964336954069e-05,-1.96902822591749e-05,-3.15812948970136e-05,-7.35937122171281e-05,1.00663614154924e-05,2.97137511476737e-05,-0.000121611696566997,-1.37260663384148e-05,-0.000134101052074474,0.000163644877679078,0.000117267558372549,0.00123020356598364,2.50927924705604e-05,-0.000329568573321551,-3.46831932297656e-06,-7.86733552477497e-05,6.81766567186545e-06,-6.68483054091124e-05,-1.37887090846991e-05,-2.12197016293446e-05,-7.1699280527485e-06,-4.93331876958438e-05,
"hrt1",-0.000277308395855945,-2.99607918631961e-05,1.7382888978033e-05,4.41133283090268e-05,8.6882050508659e-05,0.000124644372504062,0.000154283571389145,0.000184362139322454,3.16418552593808e-05,4.09187679160722e-06,6.30058267609865e-05,0.000121721901520514,8.63484305680044e-05,2.52733506751001e-05,1.03326455954652e-05,1.50255731091347e-05,3.32657844265982e-05,5.46873008976261e-05,3.76150588896981e-06,1.05510459113908e-05,6.34290933475803e-06,1.0201264012948e-05,-1.11179632958588e-05,-1.16708767414178e-05,2.25475474653242e-05,4.68999070070204e-05,2.50927924705604e-05,0.000573851522099516,0.000279172889102529,-0.000115890592186837,-6.04485466579008e-05,-7.84955608734313e-06,2.30447803443895e-06,-3.09942315757784e-05,-7.9550221285394e-05,-0.000103684109645918,-8.17867802354134e-05,
"hrt9",-9.38796906968667e-05,-1.58565801606444e-05,-3.76918078852176e-05,-2.83446087159956e-05,-8.07971614382574e-06,9.65285673314463e-06,2.22428378002467e-05,3.4733332728707e-05,6.55243132718922e-05,-5.16208789395446e-05,-5.31034005564884e-06,8.41215690751723e-05,0.00010735559925269,-8.65090749168465e-05,-3.01901318152814e-05,3.07195105533148e-06,4.21397158580308e-06,5.41443748342945e-06,-0.000148180054420781,-8.54089677694759e-06,-3.50367035656661e-05,9.60325424623343e-05,2.96860084317323e-05,-0.000426445775038219,-7.27163085121071e-06,1.73186476990052e-06,-0.000329568573321551,0.000279172889102529,0.00141057615090656,-5.15762003532175e-05,-0.000212635031490054,-3.99203483221987e-06,2.79596057631534e-05,-1.25880874227033e-05,-3.19494918958501e-05,-4.34069249992023e-05,-5.7926119429189e-05,
"surgemeno1",-0.00020266063668012,7.22947095581484e-05,8.59177779235686e-05,6.26238736067495e-05,4.91113228218514e-05,4.32229439777382e-05,3.78241829506641e-05,3.97128043855331e-05,-1.75377129194537e-05,-6.46202019477162e-06,1.92547892926392e-05,-0.000104456802858919,-2.84491836280358e-05,-1.69786796818902e-06,2.16855424952952e-05,-1.66355071145977e-05,-2.79883529159101e-05,-3.82662110874794e-05,-1.37010865878537e-05,6.00323500786393e-05,1.52741833521604e-05,-8.99428315284571e-05,-3.10702022348604e-05,5.15887947777517e-06,-1.59835382076425e-05,-4.48920222878468e-05,-3.46831932297656e-06,-0.000115890592186837,-5.15762003532175e-05,0.000753096470092545,0.000261057747199474,-3.39453284749586e-06,-1.42492200003899e-05,5.02571590436569e-06,1.6459834935149e-05,3.77129556592979e-05,4.68239733092674e-05,
"surgemeno9",-0.000193686782831042,2.56056501914948e-05,2.02141451903819e-06,-6.50625784869894e-06,-1.23422378764823e-05,-1.40088805149878e-05,-1.61884729758139e-05,-1.456665000849e-05,-0.000209926638452058,-4.46914088946122e-05,-4.42790757237174e-06,1.2778732445304e-05,-0.000170076708315872,6.29764254926288e-05,-0.000121276744713844,3.09702817677928e-05,5.76554299295514e-05,8.50969865214709e-05,0.000219959437489599,3.22065635467289e-05,-4.82962730549991e-05,-0.000257046016421816,6.94440031064667e-06,-0.000195474084572736,-1.58769215811609e-05,-1.58304916009073e-05,-7.86733552477497e-05,-6.04485466579008e-05,-0.000212635031490054,0.000261057747199474,0.000884596396161025,-1.76281734942477e-06,2.24100116933186e-05,2.68319267069193e-05,4.81411077111865e-05,4.76865702381755e-05,-9.83430593161009e-05,
"lastmamm1",-9.49716175627529e-05,2.04945532579636e-05,2.94575199821773e-05,3.87715542606902e-05,4.20388782345161e-05,5.12212242202237e-05,5.70515179874913e-05,5.37043361650766e-05,-3.55214060357283e-05,-1.73095831577645e-05,-1.51148893464739e-05,-2.87287530748758e-05,-0.000120219827952178,-2.32479031171517e-05,-2.54210700516835e-05,-1.13860402327162e-05,-9.06592791860309e-06,-1.86716085994467e-05,-9.01565826114302e-06,3.17754647363449e-06,4.378124815405e-06,5.44022447455159e-06,-0.00013355861673514,-2.84106899918672e-05,4.40045311931007e-06,2.82140135567337e-06,6.81766567186545e-06,-7.84955608734313e-06,-3.99203483221987e-06,-3.39453284749586e-06,-1.76281734942477e-06,0.0051406947483456,0.000145357707547144,-2.12492927393987e-05,-3.33459557868853e-05,-2.89334228452648e-05,-5.38143032059248e-05,
"lastmamm9",-0.00024798702568806,2.86529500712245e-05,4.11690973939742e-05,4.3860129729727e-05,4.23619261396428e-05,4.76114613624762e-05,5.16972714666541e-05,4.9979408092215e-05,1.36213789697281e-05,3.2850647169064e-05,-5.85834144465217e-06,-1.53267702043656e-05,-5.95681545800986e-06,-1.58768110127282e-05,-8.2734981861162e-05,3.5506363298479e-07,3.22201004250727e-06,6.51386775191014e-06,-3.8932770551041e-05,1.38456413496138e-05,3.40205788243858e-05,7.3567005075474e-05,5.3475229070923e-06,-1.02504042018331e-07,7.60299262618983e-06,9.89186409480816e-06,-6.68483054091124e-05,2.30447803443895e-06,2.79596057631534e-05,-1.42492200003899e-05,2.24100116933186e-05,0.000145357707547144,0.000628290879939453,2.66529443928308e-05,3.75185784453989e-05,2.1052937968772e-05,5.78722952969224e-05,
"density2",-0.00335675346207652,3.71803343692964e-06,6.43540203763305e-06,1.62237566844874e-05,2.67057021917676e-05,3.44784515314066e-05,4.04281518337749e-05,4.45354523846919e-05,1.40178233491196e-05,2.74672336898081e-06,1.95846262980201e-05,7.51743462522033e-06,-7.91048460939777e-06,8.81044679954508e-06,3.70500594962547e-05,2.69608438779506e-05,8.58093847716578e-05,0.000190823935925568,4.05279925312238e-05,-8.95609972002751e-06,-6.77333006396551e-06,-1.43939129830537e-05,-3.05529157804395e-05,1.9984637250388e-06,-5.7649471507421e-06,-1.34327696636874e-05,-1.37887090846991e-05,-3.09942315757784e-05,-1.25880874227033e-05,5.02571590436569e-06,2.68319267069193e-05,-2.12492927393987e-05,2.66529443928308e-05,0.00363986555510123,0.00331874345862208,0.00333015076003425,0.00330567185076626,
"density3",-0.00343111278025504,1.81336213653993e-05,3.48250028601652e-05,6.02545003497277e-05,7.98649617153657e-05,9.5944093673061e-05,0.000104102943015254,0.000108270556640704,2.00506617452259e-05,3.21512723047395e-05,3.44127995531222e-06,2.77612046864336e-06,-1.64723642031724e-05,1.07660559641563e-05,3.1003928536016e-05,7.6522824561828e-05,0.00017326292355944,0.000308858601502338,7.68579682339617e-05,-3.25166057086042e-05,-4.56522585597319e-05,-3.75603407898836e-05,-7.06999520450297e-05,-5.06259636716751e-06,-9.82153029611117e-06,-2.80784819204191e-05,-2.12197016293446e-05,-7.9550221285394e-05,-3.19494918958501e-05,1.6459834935149e-05,4.81411077111865e-05,-3.33459557868853e-05,3.75185784453989e-05,0.00331874345862208,0.00370929358683897,0.00338832481512086,0.00333681975847507,
"density4",-0.00356694651049945,6.9402037100736e-05,0.000125366167499448,0.000166946136315111,0.000193440123990652,0.000212349200503829,0.000217561763312642,0.000211559337255749,8.05182539553393e-06,4.68898227030704e-05,-4.62040147999087e-05,1.7809947355378e-05,-3.69040535954341e-05,2.49216203393828e-05,1.68412799566268e-05,0.000150844017325485,0.00025916776247639,0.000407769564126654,0.000137387383386957,-4.93894184777733e-05,-9.70524937953992e-05,-6.32538199289843e-05,-9.83357367204438e-05,-2.02119928559245e-05,-1.00999813705065e-05,-4.64177609212843e-05,-7.1699280527485e-06,-0.000103684109645918,-4.34069249992023e-05,3.77129556592979e-05,4.76865702381755e-05,-2.89334228452648e-05,2.1052937968772e-05,0.00333015076003425,0.00338832481512086,0.00576116843874732,0.00336538730753438,
"density9",-0.00336347735650567,1.60504621783668e-05,2.27362624503233e-05,3.96360169875458e-05,5.38076709580338e-05,6.34052916189292e-05,7.37939711623953e-05,8.19843168291118e-05,-3.91167272533044e-05,6.40531429013244e-05,-0.00010392629196936,9.61786046471206e-06,-0.000177477748473018,2.25926810055838e-06,5.27809193445925e-05,5.69029649674653e-05,0.000138687465555333,0.000263992124320037,1.1850835592741e-05,-5.83275464367802e-05,-9.80396030276684e-05,3.01705877644929e-05,-3.95522805066214e-05,-0.000103011175955592,-1.54156089132249e-05,4.15766113124927e-05,-4.93331876958438e-05,-8.17867802354134e-05,-5.7926119429189e-05,4.68239733092674e-05,-9.83430593161009e-05,-5.38143032059248e-05,5.78722952969224e-05,0.00330567185076626,0.00333681975847507,0.00336538730753438,0.00377068246671106
